name,condition,factor,priority
de_t0,country == 'DE' AND customer_tier == 't0',1.01,5
de_t1,country == 'DE' AND customer_tier == 't1',1.02,5
de_t2,country == 'DE' AND customer_tier == 't2',1.03,5
de_t3,country == 'DE' AND customer_tier == 't3',1.04,5
de_t4,country == 'DE' AND customer_tier == 't4',1.05,5
de_t5,country == 'DE' AND customer_tier == 't5',1.06,5
de_t6,country == 'DE' AND customer_tier == 't6',1.07,5
de_t7,country == 'DE' AND customer_tier == 't7',1.08,5
de_t8,country == 'DE' AND customer_tier == 't8',1.09,5
de_t9,country == 'DE' AND customer_tier == 't9',1.10,5
br_t0,country == 'BR' AND customer_tier == 't0',1.11,5
br_t1,country == 'BR' AND customer_tier == 't1',1.12,5
br_t2,country == 'BR' AND customer_tier == 't2',1.13,5
br_t3,country == 'BR' AND customer_tier == 't3',1.14,5
br_t4,country == 'BR' AND customer_tier == 't4',1.15,5
br_t5,country == 'BR' AND customer_tier == 't5',1.16,5
br_t6,country == 'BR' AND customer_tier == 't6',1.17,5
br_t7,country == 'BR' AND customer_tier == 't7',1.18,5
br_t8,country == 'BR' AND customer_tier == 't8',1.19,5
br_t9,country == 'BR' AND customer_tier == 't9',1.20,5
fr_t0,country == 'FR' AND customer_tier == 't0',1.21,5
fr_t1,country == 'FR' AND customer_tier == 't1',1.22,5
fr_t2,country == 'FR' AND customer_tier == 't2',1.23,5
fr_t3,country == 'FR' AND customer_tier == 't3',1.24,5
fr_t4,country == 'FR' AND customer_tier == 't4',1.25,5
fr_t5,country == 'FR' AND customer_tier == 't5',1.26,5
fr_t6,country == 'FR' AND customer_tier == 't6',1.27,5
fr_t7,country == 'FR' AND customer_tier == 't7',1.28,5
fr_t8,country == 'FR' AND customer_tier == 't8',1.29,5
fr_t9,country == 'FR' AND customer_tier == 't9',1.30,5
it_t0,country == 'IT' AND customer_tier == 't0',1.31,5
it_t1,country == 'IT' AND customer_tier == 't1',1.32,5
it_t2,country == 'IT' AND customer_tier == 't2',1.33,5
it_t3,country == 'IT' AND customer_tier == 't3',1.34,5
it_t4,country == 'IT' AND customer_tier == 't4',1.35,5
it_t5,country == 'IT' AND customer_tier == 't5',1.36,5
it_t6,country == 'IT' AND customer_tier == 't6',1.37,5
it_t7,country == 'IT' AND customer_tier == 't7',1.38,5
it_t8,country == 'IT' AND customer_tier == 't8',1.39,5
it_t9,country == 'IT' AND customer_tier == 't9',1.40,5
es_t0,country == 'ES' AND customer_tier == 't0',1.41,5
es_t1,country == 'ES' AND customer_tier == 't1',1.42,5
es_t2,country == 'ES' AND customer_tier == 't2',1.43,5
es_t3,country == 'ES' AND customer_tier == 't3',1.44,5
es_t4,country == 'ES' AND customer_tier == 't4',1.45,5
es_t5,country == 'ES' AND customer_tier == 't5',1.46,5
es_t6,country == 'ES' AND customer_tier == 't6',1.47,5
es_t7,country == 'ES' AND customer_tier == 't7',1.48,5
es_t8,country == 'ES' AND customer_tier == 't8',1.49,5
es_t9,country == 'ES' AND customer_tier == 't9',1.50,5
